Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
12177472,1,1
12177507,1,1
12177569,1,1
12177600,1,1
12177604,1,0
12177635,1,0
12177697,1,0
12177825,1,0
12177856,1,0
12177891,1,0
12177893,1,1
12177956,1,0
12178177,1,0
12178181,1,1
12178212,1,0
12178245,1,1
12178301,1,1
12178308,1,0
12178336,1,0
12178341,1,1
12178398,1,1
12178404,1,0
12178469,1,1
12178495,1,1
12178532,1,0
12178565,1,1
12178623,1,1
12178661,1,0
12178694,1,1
12178725,1,0
12178909,1,0
12178940,1,0
12178950,1,1
12179013,1,0
12179165,1,0
12179200,1,0
12179231,1,0
12179302,1,1
12179363,1,1
12179365,1,0
12179394,1,0
12179398,1,1
12179456,1,1
12179461,1,0
12179521,1,0
12179526,1,1
12179583,1,1
12179589,1,0
12179618,1,0
12179622,1,1
12179680,1,1
12179711,1,1
12179718,1,0
12179746,1,0
12179943,1,1
12179971,1,1
12179974,1,0
12180002,1,0
12180007,1,1
12180070,1,0
12180288,1,0
12180359,1,1
12180416,1,1
12180422,1,0
12180451,1,0
12180455,1,1
12180513,1,1
12180518,1,0
12180579,1,0
12180583,1,1
12180641,1,1
12180646,1,0
12180672,1,0
12180679,1,1
12180738,1,1
12180775,1,0
12180808,1,1
12180839,1,0
12180904,1,1
12180962,1,1
12180993,1,1
12181024,1,1
12181031,1,0
12181055,1,0
12181064,1,1
12181127,1,0
12181346,1,0
12181416,1,1
12181474,1,1
12181479,1,0
12181509,1,0
12181571,1,0
12181576,1,1
12181607,1,0
12181636,1,0
12181672,1,1
12181698,1,1
12181729,1,1
12181795,1,1
12181826,1,1
12181832,1,0
12181857,1,0
12181923,1,0
12182051,1,0
12182082,1,0
12182113,1,0
12182121,1,1
12182184,1,0
12182403,1,0
12182409,1,1
12182440,1,0
12182473,1,1
12182531,1,1
12182536,1,0
12182628,1,0
12182633,1,1
12182659,1,1
12182664,1,0
12182697,1,1
12182725,1,1
12182760,1,0
12182793,1,1
12182853,1,1
12182889,1,0
12182922,1,1
12182953,1,0
12183139,1,0
12183170,1,0
12183178,1,1
12183241,1,0
12183395,1,0
12183430,1,0
12183461,1,0
12183530,1,1
12183593,1,0
12183689,1,0
12183690,1,1
12183720,1,1
12183721,1,0
12183751,1,0
12183754,1,1
12183817,1,0
12183848,1,0
12183850,1,1
12183914,1,1
12183945,1,1
12183946,1,0
12183976,1,0
12184171,1,1
12184201,1,1
12184202,1,0
12184232,1,0
12184235,1,1
12184298,1,0
12184518,1,0
12184587,1,1
12184646,1,1
12184650,1,0
12184743,1,0
12184747,1,1
12184774,1,1
12184778,1,0
12184809,1,0
12184811,1,1
12184871,1,1
12184874,1,0
12184902,1,0
12184907,1,1
12184968,1,1
12185003,1,0
12185036,1,1
12185067,1,0
12185132,1,1
12185192,1,1
12185223,1,1
12185254,1,1
12185259,1,0
12185289,1,0
12185292,1,1
12185355,1,0
12185576,1,0
12185644,1,1
12185704,1,1
12185707,1,0
12185740,1,1
12185771,1,0
12185800,1,0
12185804,1,1
12185831,1,1
12185835,1,0
12185866,1,0
12185900,1,1
12185928,1,1
12185959,1,1
12186025,1,1
12186056,1,1
12186060,1,0
12186087,1,0
12186153,1,0
12186281,1,0
12186312,1,0
12186343,1,0
12186349,1,1
12186412,1,0
