Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
9.911598000,1,0,0,1,1,1,1,1
9.911756000,1,0,1,1,1,1,1,1
9.911787000,1,0,0,1,1,1,1,1
9.911822000,1,0,1,1,1,1,1,1
9.911887000,1,1,1,1,1,1,1,1
9.911946000,1,1,0,1,1,1,1,1
9.911950000,1,0,0,1,1,1,1,1
9.912011000,1,0,1,1,1,1,1,1
9.912015000,1,1,1,1,1,1,1,1
9.912042000,1,1,0,1,1,1,1,1
9.912046000,1,0,0,1,1,1,1,1
9.912073000,1,0,1,1,1,1,1,1
9.912079000,1,1,1,1,1,1,1,1
9.912170000,1,1,0,1,1,1,1,1
9.912174000,1,0,0,1,1,1,1,1
9.912205000,1,0,1,1,1,1,1,1
9.912207000,1,1,1,1,1,1,1,1
9.912267000,1,1,0,1,1,1,1,1
9.912298000,1,1,1,1,1,1,1,1
9.912302000,1,0,1,1,1,1,1,1
9.912333000,1,0,0,1,1,1,1,1
9.912527000,1,1,0,1,1,1,1,1
9.912554000,1,1,1,1,1,1,1,1
9.912558000,1,0,1,1,1,1,1,1
9.912589000,1,0,0,1,1,1,1,1
9.912591000,1,1,0,1,1,1,1,1
9.912655000,1,0,0,1,1,1,1,1
9.912875000,1,0,1,1,1,1,1,1
9.912944000,1,1,1,1,1,1,1,1
9.913003000,1,1,0,1,1,1,1,1
9.913007000,1,0,0,1,1,1,1,1
9.913069000,1,0,1,1,1,1,1,1
9.913072000,1,1,1,1,1,1,1,1
9.913100000,1,1,0,1,1,1,1,1
9.913103000,1,0,0,1,1,1,1,1
9.913131000,1,0,1,1,1,1,1,1
9.913136000,1,1,1,1,1,1,1,1
9.913228000,1,1,0,1,1,1,1,1
9.913231000,1,0,0,1,1,1,1,1
9.913259000,1,0,1,1,1,1,1,1
9.913264000,1,1,1,1,1,1,1,1
9.913325000,1,1,0,1,1,1,1,1
9.913359000,1,0,0,1,1,1,1,1
